2025-11-16 15:23:56.955 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:24:06.961 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:24:16.966 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:24:26.973 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:24:36.977 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:24:46.985 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:24:56.989 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:25:06.994 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:25:16.999 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:25:27.005 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:25:37.009 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:25:47.012 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:25:57.015 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:26:07.020 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:26:17.027 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:26:27.029 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:26:37.036 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:26:47.040 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:26:57.048 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:27:07.054 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:27:17.060 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:27:27.067 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:27:37.075 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:27:47.081 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:27:57.087 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:28:07.095 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:28:17.100 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:28:27.103 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:28:37.110 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
